"";"REFSEQ_MRNA";"logFC"
"ILMN_2105308";"NM_003859";0,614990227603471
"ILMN_2312732";"NM_130434";0,850608288290861
"ILMN_3251672";"NM_001943";0,717528997850005
"ILMN_1740861";"NM_020234";0,563234637294762
"ILMN_1776858";"NM_181581";0,682419513737225
"ILMN_1773847";"NM_001378";0,330689893851439
"ILMN_1783448";"NM_006141";0,630883559390401
"ILMN_1811836";"NM_016008";0,516531527475642
"ILMN_2157435";"NM_014183";-0,469003856280994
"ILMN_1696991";"NM_006484";-0,394932631701866
"ILMN_1658333";"NM_004425";-0,431821047322169
"ILMN_1717173";"NM_018098";1,31391200523619
"ILMN_1665212";"NM_014329";-0,380236502469751
"ILMN_1779828";"NM_014674";0,45561592581359
"ILMN_1711909";"NM_018217";-0,426044716947334
"ILMN_1782543";"NM_032378";-0,267866030284303
"ILMN_1755710";"NM_182689";-0,466189430467086
"ILMN_1654563";"NM_004429";-0,466796399507167
"ILMN_1664776";"NM_015137";0,771783960809813
"ILMN_1654109";"NM_182801";-0,291835164611605
"ILMN_1733305";"NM_032025";0,849088896307236
"ILMN_1739821";"NM_004094";0,725206550396484
"ILMN_2304624";"NM_022170";-0,0931249662942495
"ILMN_1756767";"NM_015904";1,08648593361201
"ILMN_1744068";"NM_018091";-0,434707533817953
"ILMN_1781761";"NM_014936";0,60356576308638
"ILMN_1700975";"NM_207168";-0,274242153383041
"ILMN_2069128";"NM_001431";0,580436527247699
"ILMN_2367384";"NM_004442";0,195592412372123
"ILMN_2214910";"NM_004444";-0,345258401740136
"ILMN_1718706";"NM_005702";-0,240314814202151
"ILMN_2334205";"NM_017669";0,898066611604357
"ILMN_1652749";"NM_006494";-0,317601259202718
"ILMN_3245659";"NM_153332";0,671264395010525
"ILMN_2300970";"NM_001014763";-0,338677938526855
"ILMN_1747281";"NM_145245";-0,828768055135638
"ILMN_1730622";"NM_016337";-0,605501389464797
"ILMN_1815012";"NM_001013839";-0,356449924970068
"ILMN_2328029";"NM_207122";-0,212178543775294
"ILMN_1790249";"NM_012151";-0,709831513737829
"ILMN_1701457";"NM_001018104";-0,542570081003898
"ILMN_2102951";"NM_016044";-0,179879303053211
"ILMN_1778845";"NM_022074";0,494375205739169
"ILMN_3244607";"NM_173511";0,534969903570222
"ILMN_2163306";"NM_014612";0,207252017523194
"ILMN_1777745";"NM_001040057";0,769991658759693
"ILMN_1651504";"NM_003704";-0,38125831034597
"ILMN_1691760";"NM_207009";0,242842177389925
"ILMN_3237062";"NM_001136570";-0,577875300349708
"ILMN_2122374";"NM_016623";0,65323351577285
"ILMN_1754045";"NM_018062";0,394474804366997
"ILMN_1729175";"NM_033406";0,661521707051722
"ILMN_1710676";"NM_012177";0,331713976602583
"ILMN_1701375";"NM_018998";-0,379960215826465
"ILMN_1764314";"NM_004463";-0,606114610429101
"ILMN_1698728";"NM_139241";0,535397561446588
"ILMN_1657797";"NM_004214";-0,315892907785859
"ILMN_1800889";"NM_014845";0,458491652340198
"ILMN_1683658";"NM_000801";-0,296319865070505
"ILMN_2104784";"NM_002013";0,445332249309622
"ILMN_1703430";"NM_018074";-0,254160674696104
"ILMN_1692464";"NM_017931";-0,368027704074469
"ILMN_3242977";"NR_015360";0,45394965473952
"ILMN_1773553";"XM_928441";-0,309846383200499
"ILMN_1661439";"NM_005803";-0,624778970341934
"ILMN_1805796";"NM_138439";-0,487556985925067
"ILMN_2108938";"NM_015308";0,267199385780676
"ILMN_2362581";"NM_001079673";0,615480338027761
"ILMN_1730454";"NM_000804";-0,476936880533121
"ILMN_1682495";"NM_032682";0,633505581263472
"ILMN_1762312";"NM_017547";-0,264524320813297
"ILMN_1772957";"NM_024955";-0,585198291992537
"ILMN_1747223";"NM_015030";1,1526789247193
"ILMN_2389273";"NM_005087";0,938615581201298
"ILMN_2389935";"NM_032288";0,511119391883285
"ILMN_2222065";"NM_003505";-0,987908720191028
"ILMN_2381758";"NM_203504";0,66810110844683
"ILMN_1720422";"NM_203504";0,67890449947167
"ILMN_1765801";"NM_000152";-0,761274305254086
"ILMN_1732514";"NM_001001556";-0,307487222176128
"ILMN_1737949";"NM_000512";-0,875697206625436
"ILMN_1706005";"NM_000155";-0,585671791084324
