"";"REFSEQ_MRNA";"logFC"
"ILMN_1781816";"NM_032221";NA
"ILMN_1798083";"NM_006387";NA
"ILMN_1679428";"NM_012110";NA
"ILMN_1763265";"NM_020412";NA
"ILMN_1715607";"NM_014169";NA
"ILMN_1795933";"NM_152272";NA
"ILMN_1731353";"NM_024536";NA
"ILMN_2202940";"NM_020244";NA
"ILMN_1729112";"NM_020244";NA
"ILMN_2110751";"NM_000745";NA
"ILMN_1723481";"NM_004273";NA
"ILMN_2188533";"NM_001080858";NA
"ILMN_1765257";"NM_032630";NA
"ILMN_2122952";"NM_018464";NA
"ILMN_2122953";"NM_018464";NA
"ILMN_3246724";"NM_001136498";NA
"ILMN_1787691";"NM_133467";NA
"ILMN_1716336";"NM_001008938";NA
"ILMN_1700507";"NM_015282";NA
"ILMN_1809267";"NM_015127";NA
"ILMN_1694731";"NM_001287";NA
"ILMN_2132458";"NM_001305";NA
"ILMN_2143685";"NM_001307";NA
"ILMN_2072568";"NM_199328";NA
"ILMN_1746676";"NM_199328";NA
"ILMN_1756982";"NM_001288";NA
"ILMN_2352190";"NM_032421";NA
"ILMN_1759792";"NM_024692";NA
"ILMN_2362911";"NM_001291";NA
"ILMN_1787109";"XM_941392";NA
"ILMN_1695961";"NM_003992";NA
"ILMN_2394027";"NM_001292";NA
"ILMN_1714522";"NM_024734";NA
"ILMN_1776267";"NM_017882";NA
"ILMN_1701094";"NM_018941";NA
"ILMN_1725705";"NM_006012";NA
"ILMN_1800993";"NM_024793";NA
"ILMN_1705442";"NM_144601";NA
"ILMN_1710124";"NM_178868";NA
"ILMN_1726769";"NM_018235";NA
"ILMN_1718813";"NM_006314";NA
"ILMN_1708486";"NM_004368";NA
"ILMN_1770290";"NM_201277";NA
"ILMN_3250893";"NM_017623";NA
"ILMN_1685095";"NM_018366";NA
"ILMN_1682501";"NM_206999";NA
"ILMN_1677840";"NM_206999";NA
"ILMN_1794324";"NM_001008225";NA
"ILMN_2174612";"NM_004779";NA
"ILMN_1736068";"NM_004779";NA
"ILMN_1753498";"NM_001042532";NA
"ILMN_2352326";"NM_025233";NA
"ILMN_1761260";"NM_014900";NA
"ILMN_1725246";"NM_032382";NA
"ILMN_1733756";"NM_080645";NA
"ILMN_2370624";"NM_080805";NA
"ILMN_2311052";"NM_080815";NA
"ILMN_1653028";"NM_001845";NA
"ILMN_1674050";"NM_005202";NA
"ILMN_1683305";"NM_016094";NA
"ILMN_2300396";"NM_014066";NA
"ILMN_1810941";"NM_000754";NA
"ILMN_1809496";"NM_012133";NA
"ILMN_1764431";"NM_006833";NA
"ILMN_1784785";"NM_022730";NA
"ILMN_1722583";"NM_006067";NA
"ILMN_1654151";"NM_004374";NA
"ILMN_2184049";"NM_001866";NA
"ILMN_2299795";"NM_001005502";NA
"ILMN_1781013";"XM_942072";NA
