"";"ID";"SYMBOL";"b1Mean";"b0Mean";"b1b0log2FC";"b1stderr";"b0stderr";"b0b1stderr";"Posterior_class_a";"Posterior_class_b";"Posterior_class_c";"Posterior_class_d"
"1584";"ILMN_1815479";"NOP10";"12.04";"11.42";" 0.6214";"0.12957";"0.08541";"0.15519";"0.1303";"0.806";"0.0251";"0.0383"
"1585";"ILMN_1810797";"WASF3";" 5.60";" 5.36";" 0.2410";"0.03970";"0.04959";"0.06353";"0.1683";"0.806";"0.0149";"0.0107"
"1586";"ILMN_1781099";"ISY1";" 9.08";" 9.31";"-0.2258";"0.01777";"0.05500";"0.05780";"0.1467";"0.806";"0.0376";"0.0097"
"1587";"ILMN_1755733";"RPLP2";"14.01";"13.93";" 0.0826";"0.01534";"0.00992";"0.01826";"0.0716";"0.806";"0.1171";"0.0053"
"1588";"ILMN_2320906";"RTN3";" 7.68";" 8.29";"-0.6096";"0.14130";"0.01459";"0.14205";"0.0930";"0.806";"0.0372";"0.0643"
"1589";"ILMN_1788457";"ABCC4";" 6.98";" 6.15";" 0.8273";"0.17299";"0.07238";"0.18752";"0.0810";"0.805";"0.0670";"0.0467"
"1590";"ILMN_1729433";"LIPH";" 5.74";" 5.11";" 0.6276";"0.15044";"0.07057";"0.16617";"0.1718";"0.805";"0.0146";"0.0085"
"1591";"ILMN_1749540";"RBM20";" 4.92";" 5.77";"-0.8488";"0.15769";"0.15543";"0.22141";"0.1601";"0.805";"0.0168";"0.0180"
"1592";"ILMN_1694589";"PAQR8";" 6.30";" 7.53";"-1.2284";"0.26518";"0.07202";"0.27479";"0.0758";"0.805";"0.0695";"0.0499"
"1593";"ILMN_2342240";"MGAT2";" 9.15";" 8.97";" 0.1756";"0.03820";"0.02665";"0.04658";"0.1733";"0.805";"0.0129";"0.0093"
"1594";"ILMN_2194561";"PLEKHG1";" 5.70";" 5.10";" 0.6046";"0.05823";"0.13668";"0.14857";"0.1203";"0.804";"0.0652";"0.0101"
"1595";"ILMN_1669888";"CSTA";" 8.58";" 8.79";"-0.2033";"0.05288";"0.01103";"0.05402";"0.1745";"0.804";"0.0114";"0.0098"
"1596";"ILMN_1655521";"DMRTA1";" 6.13";" 6.96";"-0.8280";"0.20935";"0.06647";"0.21965";"0.1731";"0.804";"0.0117";"0.0110"
"1597";"ILMN_2348403";"VRK3";" 5.37";" 5.86";"-0.4886";"0.04927";"0.10674";"0.11756";"0.1086";"0.804";"0.0746";"0.0128"
"1598";"ILMN_3260618";"LOC100128086";" 8.23";" 7.86";" 0.3701";"0.08965";"0.01593";"0.09105";"0.1209";"0.804";"0.0232";"0.0518"
"1599";"ILMN_3231944";"LOC100130516";"11.61";"11.24";" 0.3679";"0.07867";"0.05743";"0.09741";"0.1716";"0.804";"0.0130";"0.0114"
"1600";"ILMN_1764096";"CCBL1";" 7.80";" 8.41";"-0.6119";"0.11355";"0.05795";"0.12748";"0.0529";"0.804";"0.1254";"0.0181"
"1601";"ILMN_1735367";"HSD17B11";" 6.93";" 6.64";" 0.2896";"0.05859";"0.04563";"0.07426";"0.1474";"0.803";"0.0206";"0.0285"
"1602";"ILMN_1755727";"KDM5B";" 8.99";" 9.38";"-0.3891";"0.08323";"0.04216";"0.09330";"0.1067";"0.803";"0.0378";"0.0522"
"1603";"ILMN_1687884";"ZNF2";" 5.57";" 5.82";"-0.2417";"0.02985";"0.05630";"0.06373";"0.1680";"0.803";"0.0176";"0.0113"
"1604";"ILMN_1736752";"COMTD1";" 9.87";"10.13";"-0.2606";"0.04343";"0.04205";"0.06045";"0.0907";"0.803";"0.0796";"0.0266"
"1605";"ILMN_2265995";"NBPF3";" 7.66";" 7.84";"-0.1778";"0.01998";"0.03710";"0.04213";"0.1007";"0.803";"0.0850";"0.0112"
"1606";"ILMN_1743836";"MXRA7";" 8.87";" 9.56";"-0.6956";"0.15735";"0.05720";"0.16742";"0.1085";"0.803";"0.0321";"0.0565"
"1607";"ILMN_2359029";"C11orf17";" 6.80";" 7.19";"-0.3858";"0.07980";"0.06430";"0.10248";"0.1739";"0.802";"0.0148";"0.0088"
