"";"ID";"SYMBOL";"c1Mean";"c0Mean";"c1c0log2FC";"c1stderr";"c0stderr";"c0c1stderr";"Posterior_class_a";"Posterior_class_b";"Posterior_class_c";"Posterior_class_d"
"684";"ILMN_1776154";"COG3";" 6.78";" 6.32";" 0.4625";"0.092068";"0.04909";"0.10434";"0.0467";"0.0569";"0.865";"0.0313"
"685";"ILMN_2148679";"SDHAP3";" 5.60";" 5.09";" 0.5192";"0.036714";"0.07717";"0.08546";"0.0879";"0.0364";"0.865";"0.0109"
"686";"ILMN_1706583";"DLAT";" 8.53";" 8.14";" 0.3925";"0.014098";"0.06000";"0.06163";"0.0942";"0.0230";"0.865";"0.0182"
"687";"ILMN_2315694";"STRADA";" 9.48";" 9.84";"-0.3555";"0.074552";"0.03541";"0.08253";"0.0426";"0.0607";"0.864";"0.0324"
"688";"ILMN_1742044";"GNAI1";" 6.59";" 5.88";" 0.7100";"0.033991";"0.10994";"0.11508";"0.1021";"0.0130";"0.864";"0.0208"
"689";"ILMN_1799614";"PNPLA6";" 7.47";" 7.99";"-0.5242";"0.003567";"0.07907";"0.07915";"0.0863";"0.0358";"0.864";"0.0138"
"690";"ILMN_1773148";"C11orf61";" 6.19";" 5.71";" 0.4753";"0.024950";"0.06951";"0.07385";"0.0778";"0.0480";"0.864";"0.0104"
"691";"ILMN_2229170";"CRSP9";" 6.96";" 6.61";" 0.3491";"0.060521";"0.04650";"0.07632";"0.0862";"0.0099";"0.864";"0.0401"
"692";"ILMN_1672006";"SSB";" 9.74";" 8.63";" 1.1106";"0.106388";"0.15514";"0.18812";"0.0708";"0.0455";"0.864";"0.0198"
"693";"ILMN_1709287";"LOC651575";" 6.52";" 6.95";"-0.4321";"0.029175";"0.06355";"0.06993";"0.0828";"0.0343";"0.864";"0.0192"
"694";"ILMN_1773553";"FLJ46906";" 6.29";" 6.60";"-0.3098";"0.037571";"0.04507";"0.05867";"0.0944";"0.0126";"0.864";"0.0296"
"695";"ILMN_1701111";"RP5-1022P6.2";" 6.16";" 5.47";" 0.6869";"0.030126";"0.09208";"0.09689";"0.0495";"0.0799";"0.864";"0.0071"
"696";"ILMN_2061950";"RABGAP1";" 8.97";" 8.66";" 0.3080";"0.083204";"0.03596";"0.09064";"0.1173";"0.0109";"0.863";"0.0083"
"697";"ILMN_1668861";"LOC732165";" 8.29";" 8.85";"-0.5546";"0.111972";"0.06719";"0.13058";"0.0744";"0.0167";"0.863";"0.0458"
"698";"ILMN_1774382";"NR2C1";" 6.45";" 6.03";" 0.4247";"0.042094";"0.06569";"0.07802";"0.1147";"0.0096";"0.863";"0.0126"
"699";"ILMN_1738342";"METT5D1";" 6.25";" 5.79";" 0.4582";"0.011151";"0.07097";"0.07184";"0.0991";"0.0235";"0.863";"0.0145"
"700";"ILMN_3251379";"SLC35E1";" 7.27";" 7.48";"-0.2156";"0.008132";"0.02837";"0.02952";"0.0446";"0.0859";"0.863";"0.0066"
"701";"ILMN_1815051";"API5";" 9.68";" 8.80";" 0.8848";"0.091077";"0.11448";"0.14629";"0.0509";"0.0717";"0.862";"0.0157"
"702";"ILMN_1728471";"ARFGEF1";"10.74";" 9.66";" 1.0847";"0.006652";"0.16995";"0.17008";"0.1038";"0.0182";"0.862";"0.0164"
"703";"ILMN_1772957";"FOXRED2";" 7.15";" 7.74";"-0.5852";"0.076883";"0.08031";"0.11118";"0.0764";"0.0352";"0.862";"0.0267"
"704";"ILMN_1764970";"JMJD1C";" 9.26";" 8.13";" 1.1343";"0.151017";"0.15824";"0.21873";"0.0828";"0.0267";"0.862";"0.0288"
"705";"ILMN_3307158";"ATG4A";" 7.43";" 7.12";" 0.3051";"0.024865";"0.04177";"0.04861";"0.0609";"0.0615";"0.862";"0.0160"
"706";"ILMN_1764314";"FGD1";" 5.66";" 6.27";"-0.6061";"0.014837";"0.08459";"0.08588";"0.0588";"0.0684";"0.861";"0.0113"
"707";"ILMN_1733511";"GOLGA3";" 9.39";" 9.56";"-0.1710";"0.026096";"0.02366";"0.03522";"0.0883";"0.0154";"0.861";"0.0349"
"708";"ILMN_1719792";"PHLDB2";"10.05";" 8.75";" 1.2973";"0.172178";"0.16800";"0.24056";"0.0598";"0.0568";"0.861";"0.0220"
"709";"ILMN_1691290";"CELSR3";" 8.30";" 8.91";"-0.6059";"0.129921";"0.05962";"0.14295";"0.0431";"0.0617";"0.861";"0.0342"
"710";"ILMN_1805643";"RILPL1";" 8.95";" 9.32";"-0.3790";"0.061396";"0.05217";"0.08057";"0.0912";"0.0098";"0.861";"0.0384"
"711";"ILMN_1664323";"MBIP";" 8.54";" 8.06";" 0.4819";"0.013902";"0.07680";"0.07805";"0.1141";"0.0092";"0.861";"0.0162"
"712";"ILMN_2402798";"AP2M1";" 9.89";"10.27";"-0.3803";"0.071204";"0.04245";"0.08290";"0.0494";"0.0610";"0.860";"0.0292"
"713";"ILMN_2043265";"ZFP106";" 9.24";" 8.72";" 0.5199";"0.073255";"0.06469";"0.09773";"0.0529";"0.0658";"0.860";"0.0211"
"714";"ILMN_1793712";"SCAMP3";" 8.36";" 8.63";"-0.2644";"0.087573";"0.02202";"0.09030";"0.1105";"0.0223";"0.860";"0.0070"
"715";"ILMN_1784269";"AASDH";" 6.37";" 5.72";" 0.6447";"0.142586";"0.07452";"0.16088";"0.0745";"0.0111";"0.859";"0.0549"
"716";"ILMN_2134555";"KCTD3";"10.10";" 9.17";" 0.9324";"0.061737";"0.12823";"0.14232";"0.0592";"0.0672";"0.859";"0.0142"
